Unnamed: 0,area,ciudad,zona,residuos,residuos_especiales,agua,energia,conciencia,final
337,rural,10168,TARQUI,0.5,0.0,0.0,0.0,0.5,2
338,rural,10168,TARQUI,1.0,0.5,0.5,0.0,0.5,2
339,rural,10168,TARQUI,0.5,1.0,0.0,1.0,0.5,1
340,rural,10168,TARQUI,1.0,0.5,0.0,0.5,0.0,2
341,rural,10168,TARQUI,1.0,0.5,0.0,1.0,1.0,1
342,rural,10168,TARQUI,1.0,0.5,0.5,1.0,0.5,1
343,rural,10168,TARQUI,1.0,0.5,0.5,1.0,1.0,1
344,rural,10168,TARQUI,0.0,0.0,1.0,0.5,1.0,0
345,rural,10168,TARQUI,1.0,0.0,1.0,0.0,1.0,0
346,rural,10168,TARQUI,1.0,0.0,0.5,0.5,1.0,0
347,rural,10168,TARQUI,0.0,0.0,1.0,1.0,0.0,0
348,rural,10168,TARQUI,1.0,0.5,0.5,1.0,1.0,1
349,rural,10168,TARQUI,0.0,0.0,1.0,1.0,1.0,0
350,urbana,10170,VALLE,0.5,0.0,0.5,0.0,0.0,2
351,urbana,10170,VALLE,0.5,1.0,0.0,1.0,0.5,1
352,urbana,10170,VALLE,1.0,0.5,0.0,0.0,1.0,2
353,urbana,10170,VALLE,0.0,0.5,1.0,1.0,0.0,0
354,urbana,10170,VALLE,0.5,0.5,0.0,0.0,0.0,2
355,urbana,10170,VALLE,0.0,0.5,0.0,0.0,0.0,2
356,urbana,10170,VALLE,0.0,0.0,0.5,1.0,0.0,1
357,urbana,10170,VALLE,0.0,1.0,0.5,1.0,0.5,1
358,urbana,10170,VALLE,0.0,0.5,0.0,0.0,0.0,2
359,urbana,10170,VALLE,0.0,1.0,0.5,0.0,0.5,2
360,urbana,10170,VALLE,1.0,0.5,0.5,0.0,0.0,2
361,urbana,10170,VALLE,0.0,0.0,0.0,0.0,0.0,2
362,rural,10170,VALLE,1.0,0.0,0.0,0.0,1.0,2
363,rural,10170,VALLE,0.0,0.0,1.0,1.0,1.0,0
364,rural,10170,VALLE,0.5,0.0,0.5,0.0,1.0,2
365,rural,10170,VALLE,1.0,0.0,1.0,0.0,1.0,0
366,rural,10170,VALLE,1.0,0.0,0.0,0.0,1.0,2
367,rural,10170,VALLE,0.0,1.0,0.0,0.0,0.5,2
368,rural,10170,VALLE,0.0,0.5,1.0,0.5,0.5,0
